cities,methane,methane_end,methane_start,carbonmonoxide,carbonmonoxide_end,carbonmonoxide_start,ozone,ozone_end,ozone_start,nitrogendioxide,nitrogendioxide_end,nitrogendioxide_start
Tokyo,1899.40564,2020-12-23T04:47:20.687000Z,2020-12-23T04:47:20.687000Z,0.037748601,2020-07-13T03:03:39.453000Z,2020-07-13T03:03:39.453000Z,0.13278275,2020-07-13T04:43:56.633000Z,2020-07-13T03:03:35.254000Z,0.000119021,2019-05-05T05:59:51.907000Z,2019-05-05T05:59:51.907000Z
Tokyo,1888.704102,2019-10-28T03:59:57.013000Z,2019-10-28T03:59:57.013000Z,0.044726044,2019-05-05T03:59:54.066000Z,2019-05-05T03:59:54.066000Z,0.1532958,2019-05-05T03:59:51.907000Z,2019-05-05T03:59:51.907000Z,0.000153609,2019-08-03T06:12:01.563000Z,2019-08-03T06:12:01.563000Z
Tokyo,1854.802612,2019-04-03T04:00:07.434000Z,2019-04-03T04:00:07.434000Z,0.044160075,2020-04-23T03:22:36.506000Z,2020-04-23T03:22:36.506000Z,0.158653408,2020-04-23T03:22:33.147000Z,2020-04-23T03:22:33.147000Z,0.000420428,2021-01-21T05:44:10.727000Z,2021-01-21T04:03:49.581000Z
Tokyo,1891.626465,2019-12-28T03:16:30.413000Z,2019-12-28T03:16:30.413000Z,0.040795293,2019-08-03T04:12:04.802000Z,2019-08-03T04:12:04.802000Z,0.132341787,2019-08-03T04:12:01.563000Z,2019-08-03T04:12:01.563000Z,0.000162071,2019-09-02T05:09:45.016000Z,2019-09-02T05:09:45.016000Z
Tokyo,1871.853882,2020-02-24T03:28:56.146000Z,2020-02-24T03:28:56.146000Z,0.039330401,2021-01-21T05:44:16.606000Z,2021-01-21T05:44:16.606000Z,0.109443203,2021-01-21T04:03:49.581000Z,2021-01-21T04:03:49.581000Z,0.000229766,2021-02-10T04:28:34.935000Z,2021-02-10T04:28:34.935000Z
Tokyo,1886.115967,2021-03-03T04:34:49.098000Z,2021-03-03T04:34:49.098000Z,0.031854566,2019-09-02T03:09:49.215000Z,2019-09-02T03:09:49.215000Z,0.124988496,2019-09-02T03:09:45.016000Z,2019-09-02T03:09:45.016000Z,0.000152558,2020-08-03T05:09:37.518000Z,2020-08-03T05:09:37.518000Z
Tokyo,1911.619141,2021-01-04T04:22:26.964000Z,2021-01-04T04:22:26.964000Z,0.043216582,2021-02-10T04:28:38.294000Z,2021-02-10T04:28:38.294000Z,0.132663831,2020-08-03T03:09:37.518000Z,2020-08-03T03:09:37.518000Z,6.87E-05,2020-08-24T05:15:38.980000Z,2020-08-24T05:15:38.980000Z
Tokyo,1879.410156,2020-01-03T03:04:12.686000Z,2020-01-03T03:04:12.686000Z,0.039400712,2020-08-03T03:09:40.877000Z,2020-08-03T03:09:40.877000Z,0.133512884,2020-08-24T03:15:38.980000Z,2020-08-24T03:15:38.980000Z,9.88E-05,2020-08-28T05:40:30.288000Z,2020-08-28T05:40:30.288000Z
Tokyo,1871.864502,2019-02-16T03:22:53.342000Z,2019-02-16T03:22:53.342000Z,0.027162302,2020-08-24T03:15:42.339000Z,2020-08-24T03:15:42.339000Z,0.130204678,2020-06-30T03:47:09.490000Z,2020-06-30T03:47:09.490000Z,0.000103301,2021-05-08T04:57:17.833000Z,2021-05-08T04:57:17.833000Z
Tokyo,1912.118896,2020-10-29T05:18:43.069000Z,2020-10-29T05:18:43.069000Z,0.033943079,2020-09-17T06:05:49.971000Z,2020-09-17T06:05:49.971000Z,0.137168609,2019-06-15T04:31:07.557000Z,2019-06-15T02:51:09.219000Z,7.53E-05,2020-11-04T05:05:59.734000Z,2020-11-04T05:05:59.734000Z
Tokyo,1888.000854,2020-04-23T03:22:40.706000Z,2020-04-23T03:22:40.706000Z,0.033430438,2020-08-28T03:40:32.807000Z,2020-08-28T03:40:32.807000Z,0.127583057,2020-09-17T06:05:43.252000Z,2020-09-17T06:05:43.252000Z,7.05E-05,2021-03-10T05:44:06.575000Z,2021-03-10T04:03:44.952000Z
Tokyo,1892.64563,2019-12-15T04:00:07.892000Z,2019-12-15T04:00:07.892000Z,0.033101562,2019-12-01T03:22:36.507000Z,2019-12-01T03:22:36.507000Z,0.120695189,2020-08-28T03:40:30.288000Z,2020-08-28T03:40:30.288000Z,0.000145593,2020-07-15T06:05:54.597000Z,2020-07-15T06:05:54.597000Z
Tokyo,1867.01416,2019-04-13T04:12:41.329000Z,2019-04-13T04:12:41.329000Z,0.042919416,2019-03-25T03:28:54.422000Z,2019-03-25T03:28:54.422000Z,0.117906854,2019-12-01T03:22:33.988000Z,2019-12-01T03:22:33.988000Z,0.000331369,2019-07-02T06:11:58.295000Z,2019-07-02T06:11:58.295000Z
Tokyo,1875.980713,2019-05-24T03:03:45.805000Z,2019-05-24T03:03:45.805000Z,0.037936676,2020-11-04T05:06:02.253000Z,2020-11-04T05:06:02.253000Z,0.149922982,2021-05-08T06:37:27.334000Z,2021-05-08T06:37:27.334000Z,0.000115335,2019-10-23T05:53:35.048000Z,2019-10-23T05:53:35.048000Z
Tokyo,1884.14856,2020-01-06T03:47:36.895000Z,2020-01-06T03:47:36.895000Z,0.037163347,2019-06-12T03:47:02.083000Z,2019-06-12T03:47:02.083000Z,0.130416155,2020-07-01T03:28:25.814000Z,2020-07-01T03:28:25.814000Z,5.32E-05,2019-09-17T05:28:25.459000Z,2019-09-17T05:28:25.459000Z
Tokyo,1865.737183,2019-03-02T04:00:20.039000Z,2019-03-02T04:00:20.039000Z,0.042881738,2019-12-18T04:44:35.190000Z,2019-12-18T04:44:35.190000Z,0.140453339,2019-06-14T03:09:40.320000Z,2019-06-14T03:09:40.320000Z,4.62E-05,2020-01-31T05:19:05.045000Z,2020-01-31T05:19:05.045000Z
Tokyo,1906.119385,2020-10-26T04:34:39.604000Z,2020-10-26T04:34:39.604000Z,0.049188342,2020-01-12T03:35:07.385000Z,2020-01-12T03:35:07.385000Z,0.122358151,2020-11-04T05:05:59.734000Z,2020-11-04T05:05:59.734000Z,0.000192613,2021-02-21T04:22:20.735000Z,2021-02-21T04:22:20.735000Z
Tokyo,1888.839722,2019-11-09T03:34:58.116000Z,2019-11-09T03:34:58.116000Z,0.039462764,2021-03-10T04:03:49.151000Z,2021-03-10T04:03:49.151000Z,0.18159306,2019-06-12T03:46:59.924000Z,2019-06-12T03:46:59.924000Z,0.000165339,2019-11-11T05:37:55.350000Z,2019-11-11T03:57:45.364000Z
